"","...1.x","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","Media_Fo","Mediana_FO","Desvio_FO","Cv_FO","...1.y","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","Media_Fs","Mediana_FS","Desvio_FS","Cv_FS"
"57",400,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC Veloz","p",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"58",401,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Bem-te-vi","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"59",402,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Campos Gerais","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"60",403,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 2051","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"61",404,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Urutau","p",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"62",405,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","ANFp119","p",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"63",406,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Sabi<e1>","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"64",407,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Tangar<e1>","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"65",408,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 402","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"66",409,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 104","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"67",410,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","ANFc 9","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"68",411,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","GEN 49-4-4 DA 940","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"69",412,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FP 403","p",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"70",413,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Tuiui<fa>","p",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"71",414,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Uirapuru","p",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"72",415,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS Esteio","p",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"73",416,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","TAA Dama","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"74",417,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Quero-quero","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"75",418,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 1849","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"76",419,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Uirapuru","p",4,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"77",420,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","Marhe","chc",4,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"78",421,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Campos Gerais","chc",4,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"79",422,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Curi<f3>","chc",4,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"80",423,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Bem-te-vi","chc",4,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
