"","...1.x","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","Media_Fo","Mediana_FO","Desvio_FO","Cv_FO","...1.y","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","Media_Fs","Mediana_FS","Desvio_FS","Cv_FS"
"839",753,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFp 110","p",2,2015-12-14,"15/16","0.8","1.6","2.2",NA,NA,NA,NA,NA,NA,1.53333333333333,1.6,0.702376916856849,45.8071902297945,753,"4","4.4","6","6","6","6","7","7.6",NA,NA,NA,5.875,6,1.19492976482183,20.3392300395204
"840",754,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS <c1>rtico","b",2,2015-12-14,"15/16","0.2","0.2","0.2",NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,754,"3","4.4","7.2","7.2","7.2","7.2","9","9",NA,NA,NA,6.775,7.2,2.0878902543682,30.817568330158
"841",755,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",2,2015-12-14,"15/16","0.6","1.8","2.6",NA,NA,NA,NA,NA,NA,1.66666666666667,1.8,1.00664459136943,60.398675482166,755,"0.2","0.2","0.8","0.8","0.8","0.8","0.8","2",NA,NA,NA,0.8,0.8,0.555492059863531,69.4365074829414
"842",756,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Realce","ra",2,2015-12-14,"15/16","0.2","0.5","0.5",NA,NA,NA,NA,NA,NA,0.4,0.5,0.173205080756888,43.3012701892219,756,"2.6","3.4","6","6","6","6","7","8.2",NA,NA,NA,5.65,6,1.81973310444927,32.2076655654738
"843",757,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",2,2015-12-14,"15/16","0.4","0.6","0.8",NA,NA,NA,NA,NA,NA,0.6,0.6,0.2,33.3333333333333,757,"0.2","0.2","0.2","0.2","0.2","4.8",NA,NA,NA,NA,NA,0.966666666666667,0.2,1.87794213613377,194.269876151769
"844",758,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Madrep<e9>rola","chc",2,2015-12-14,"15/16","0.6","2.5","2.5",NA,NA,NA,NA,NA,NA,1.86666666666667,2.5,1.09696551146029,58.7660095425155,758,"0.8","0.8","1","1","1","1","1","2.6",NA,NA,NA,1.15,1,0.592814112035612,51.549053220488
"845",759,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Awauna","p",2,2015-12-14,"15/16","0.8","2.6","2.6",NA,NA,NA,NA,NA,NA,2,2.6,1.03923048454133,51.9615242270663,759,"0.4","0.4","0.8","0.8","0.8","0.8","0.8","2.8",NA,NA,NA,0.95,0.8,0.769043933353987,80.9519929846302
"846",760,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",2,2015-12-14,"15/16","0.8","1.4","1.4",NA,NA,NA,NA,NA,NA,1.2,1.4,0.346410161513775,28.8675134594813,760,"0.4","0.4","0.6","0.6","0.6","0.6","2","4.8",NA,NA,NA,1.25,0.6,1.52596573636875,122.0772589095
"847",761,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",2,2015-12-14,"15/16","1","2.8","2.8",NA,NA,NA,NA,NA,NA,2.2,2.8,1.03923048454133,47.237749297333,761,"1.6","1.6","1.6","1.6","1.6","1.8",NA,NA,NA,NA,NA,1.63333333333333,1.6,0.0816496580927726,4.99895865874118
"848",762,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",2,2015-12-14,"15/16","1","2.8","2.8",NA,NA,NA,NA,NA,NA,2.2,2.8,1.03923048454133,47.237749297333,762,"0.5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.75,0.353553390593274,47.1404520791032
"849",763,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 402","chc",3,2015-12-14,"15/16","0.6","0.6","0.6",NA,NA,NA,NA,NA,NA,0.6,0.6,0,0,763,"1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,NA,NA
"850",764,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","FAP-F3-2","chc",3,2015-12-14,"15/16","0.4","1.4","1.6",NA,NA,NA,NA,NA,NA,1.13333333333333,1.4,0.642910050732864,56.7273574176056,764,"2","2","2.4","2.4","2.4","2.4","2.4","4.5",NA,NA,NA,2.5625,2.4,0.803452372132732,31.3542389124969
"851",765,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",3,2015-12-14,"15/16","1","2.5","2.5",NA,NA,NA,NA,NA,NA,2,2.5,0.866025403784439,43.3012701892219,765,"0.6","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,0,0
