"","index","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","data_colheita","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11"
"48",48,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",2,2017-12-15,2018-03-15,"17/18",1,3.5,3.5,NA,NA,NA,NA,NA,NA,0.1,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
"49",49,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA 02","p",2,2017-12-15,2018-03-15,"17/18",0.1,1,2,2.5,NA,NA,NA,NA,NA,0.1,0.5,1,2,2,2,NA,NA,NA,NA,NA
"50",50,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Celeiro","chc",2,2017-12-15,2018-03-15,"17/18",2,4,6,NA,NA,NA,NA,NA,NA,0.1,5.5,5.5,5.5,NA,NA,NA,NA,NA,NA,NA
"51",51,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 204 Predileto","p",2,2017-12-15,2018-03-15,"17/18",0.5,2.5,3,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA
"52",52,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Nhambu","p",2,2017-12-15,2018-03-15,"17/18",0.2,1,2,2,NA,NA,NA,NA,NA,0.1,0.5,1,1,NA,NA,NA,NA,NA,NA,NA
"53",53,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 104","chc",2,2017-12-15,2018-03-15,"17/18",2,7.5,8.5,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,6.5,7,7,NA,NA,NA
"54",54,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Madrep<e9>rola","chc",2,2017-12-15,2018-03-15,"17/18",1.5,4.5,5,NA,NA,NA,NA,NA,NA,0.2,0.5,0.5,1,NA,NA,NA,NA,NA,NA,NA
"55",55,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esteio","p",2,2017-12-15,2018-03-15,"17/18",0.2,1.5,1.5,1.5,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,5,5,5,NA,NA,NA
"56",56,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tangar<e1>","chc",2,2017-12-15,2018-03-15,"17/18",0.1,1,1,1,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,6.5,6.5,6.5,NA,NA,NA,NA
"57",57,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","C 10-6-91","chc",2,2017-12-15,2018-03-15,"17/18",1.5,6,7,NA,NA,NA,NA,NA,NA,0.2,0.8,2,3.5,5,5,5,NA,NA,NA,NA
"58",58,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",2,2017-12-15,2018-03-15,"17/18",1,6,7,NA,NA,NA,NA,NA,NA,0.2,0.8,2.5,4,5.5,5.5,5.5,NA,NA,NA,NA
